Campaign_ID,Campaign_Channel,Target_Segment,Ad_Spend,Impressions,Clicks,Conversion_Rate,Average_Order_Value,Campaign_Duration_Days,Email_Open_Rate,Monthly_Revenue_Generated
CMP0001,Search,Existing Customers,287844.92,586840,19308,7.0,3087.02,78,31.92,1990399.88
CMP0002,Social Media,Existing Customers,307760.85,789468,14513,3.49,2721.39,35,23.93,1196314.43
CMP0003,Display,High Value,224049.22,862201,7610,4.31,5657.4,84,35.41,1467163.45
CMP0004,Affiliate,New Customers,66514.17,121216,1864,6.26,3708.45,17,26.88,874015.23
CMP0005,Email,Small Business,418341.36,944032,25166,6.79,6876.28,59,44.82,2298128.92
CMP0006,Email,High Value,147110.84,242283,13347,7.28,8327.81,50,42.84,2162232.8
CMP0007,Email,Price Sensitive,184818.28,207312,6127,7.27,2239.28,22,34.85,847242.37
CMP0008,Social Media,Existing Customers,402728.63,960939,15205,3.26,3703.65,32,32.63,1195876.46
CMP0009,Search,New Customers,463442.91,1448881,34064,3.92,2862.54,36,20.53,1538893.15
CMP0010,Social Media,High Value,214680.58,736584,11866,5.0,4515.59,79,42.88,1476460.21
CMP0011,Display,Price Sensitive,363634.58,2000000,13456,1.08,1143.13,57,15.79,1017893.49
CMP0012,Social Media,High Value,261860.87,557558,18342,6.99,5126.68,34,45.88,1845665.39
CMP0013,Affiliate,Existing Customers,124535.02,243093,6285,6.29,4565.54,59,37.85,943910.78
CMP0014,Display,Existing Customers,80066.34,240960,2567,3.71,4078.17,26,27.91,710625.44
CMP0015,Email,Existing Customers,120457.35,170467,9024,7.12,4884.97,45,41.14,902195.86
CMP0016,Email,Small Business,476962.02,667676,41348,5.8,4530.07,68,46.94,2184814.76
CMP0017,Email,Small Business,271880.91,496253,21984,7.42,5577.05,89,47.0,2351876.24
CMP0018,Display,High Value,207950.95,378958,3581,1.01,9448.38,18,33.49,1303378.26
CMP0019,Email,Small Business,469919.0,641400,27720,5.71,5661.24,20,37.2,2138749.91
CMP0020,Email,New Customers,242925.11,610978,20357,6.65,3378.62,89,34.54,1386586.95
CMP0021,Email,Existing Customers,178638.96,241757,13740,6.41,3900.15,62,50.86,1752603.28
CMP0022,Display,New Customers,169974.91,534819,1883,1.64,2651.49,56,16.34,904370.87
CMP0023,Affiliate,High Value,463893.49,747435,19455,5.05,8759.45,8,51.44,2000655.83
CMP0024,Display,Small Business,258925.25,884699,4965,2.71,5775.35,32,32.38,940285.6
CMP0025,Affiliate,Existing Customers,154132.89,305100,7452,6.3,3184.93,69,34.05,1183471.14
CMP0026,Email,Small Business,238375.53,316759,18014,6.63,4550.37,63,54.46,1734383.1
